AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_RATING_CLIENT,REG_REGION_NOT_WORK_REGION,FLAG_OWN_CAR,FLAG_OWN_REALTY,TARGET
70000.0,176100.0,9100.0,-13689,-1699,3,Revolving loans,Working,Secondary / secondary special,Married,Rented apartment,2,0,N,Y,1
83900.0,180700.0,10580.0,-22949,-1186,2,Cash loans,Working,Higher education,Civil marriage,House / apartment,2,1,N,N,0
178900.0,464400.0,28200.0,-19434,-699,2,Cash loans,Commercial associate,Secondary / secondary special,Married,Rented apartment,3,0,Y,Y,1
81900.0,205300.0,11960.0,-17291,-3197,3,Cash loans,Working,Higher education,Single / not married,House / apartment,3,0,N,N,0
256900.0,904800.0,50110.0,-10177,-1950,1,Revolving loans,State servant,Higher education,Married,House / apartment,1,0,Y,Y,0
142100.0,622000.0,30980.0,-10177,-2602,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,1,N,Y,0
153700.0,561200.0,32960.0,-8603,-978,1,Cash loans,Pensioner,Higher education,Married,House / apartment,2,0,Y,Y,0
128100.0,551100.0,36160.0,-21590,-5212,2,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,1,N,Y,1
216700.0,848800.0,35800.0,-17330,-771,1,Cash loans,Working,Secondary / secondary special,Separated,Rented apartment,2,0,N,N,0
217900.0,820500.0,37320.0,-19049,-1382,2,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
174100.0,508000.0,22920.0,-8001,-1426,1,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,3,0,N,N,0
195300.0,522800.0,34510.0,-23257,-158,1,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,N,Y,0
132400.0,540800.0,32030.0,-21048,-210,4,Revolving loans,Working,Secondary / secondary special,Married,House / apartment,2,1,N,Y,1
193100.0,819600.0,54710.0,-11082,-4508,3,Cash loans,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,2,0,N,Y,1
124400.0,375700.0,21470.0,-10592,-4017,1,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,3,0,N,Y,0
147400.0,268900.0,14520.0,-10617,-2697,3,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,3,0,N,Y,0
128400.0,505900.0,31670.0,-12559,-1209,2,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
117200.0,301200.0,13910.0,-16103,-1288,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,N,0
104300.0,190500.0,9890.0,-14612,-543,2,Cash loans,Commercial associate,Higher education,Married,House / apartment,2,0,N,Y,0
186100.0,739500.0,40020.0,-12350,-1035,4,Revolving loans,State servant,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
283600.0,906700.0,45120.0,-17503,-1030,3,Revolving loans,Working,Secondary / secondary special,Married,House / apartment,2,0,N,Y,0
264500.0,965400.0,49870.0,-9912,-67,3,Cash loans,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,2,0,N,Y,0
78600.0,335600.0,14780.0,-12365,-1102,2,Cash loans,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Y,Y,1
280600.0,915100.0,43140.0,-13558,-1193,2,Revolving loans,Working,Higher education,Married,House / apartment,1,0,N,Y,0
125600.0,396700.0,20120.0,-14999,-2001,2,Cash loans,Working,Secondary / secondary special,Married,Municipal apartment,2,0,N,Y,0
198900.0,514100.0,32230.0,-20288,-1326,3,Cash loans,Working,Secondary / secondary special,Widow,House / apartment,3,0,N,Y,1
93600.0,245600.0,11480.0,-10879,-3612,3,Cash loans,Pensioner,Higher education,Married,House / apartment,3,0,N,N,0
158100.0,624600.0,31860.0,-15934,-836,1,Cash loans,Working,Secondary / secondary special,Married,House / apartment,2,1,N,Y,0
172300.0,519000.0,22670.0,-17190,-962,2,Cash loans,Working,Secondary / secondary special,Single / not married,House / apartment,2,0,N,N,0
70100.0,157100.0,8870.0,-8416,-1547,2,Cash loans,Commercial associate,Secondary / secondary special,Married,House / apartment,2,0,Y,Y,0
199600.0,410200.0,23750.0,-17434,-413,1,Cash loans,State servant,Secondary / secondary special,Married,House / apartment,1,0,N,Y,0
288600.0,888000.0,57280.0,-10410,-913,2,Cash loans,Working,Higher education,Civil marriage,House / apartment,3,1,N,Y,0
