AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_RATING_CLIENT,REG_REGION_NOT_WORK_REGION,FLAG_OWN_CAR,FLAG_OWN_REALTY
394900.0,720700.0,33650.0,-22902,-36,1,1,0,3,0,0,2,1,1,1
216100.0,923600.0,54350.0,-23668,-1717,1,0,3,3,1,0,3,0,0,0
181400.0,620900.0,35430.0,-11298,-68,1,1,3,3,1,0,2,1,1,1
119200.0,441700.0,22400.0,-18547,-168,2,0,3,3,1,0,2,0,0,1
177700.0,673900.0,35860.0,-10691,-4117,4,0,1,3,1,0,2,0,0,1
159600.0,707400.0,44030.0,-19437,-3025,1,0,3,3,3,1,2,0,0,1
152200.0,514100.0,21830.0,-13826,-7252,2,0,0,3,1,0,2,0,0,1
154700.0,540600.0,28410.0,-13893,-703,2,0,3,3,3,0,2,0,1,1
296600.0,770400.0,51750.0,-15667,-3852,1,0,3,3,1,0,2,0,1,1
89100.0,270500.0,12300.0,-7762,-1188,1,1,3,3,0,0,2,0,0,1
115500.0,335500.0,15330.0,-9697,-687,4,0,3,1,0,0,2,0,0,0
340500.0,1301500.0,73160.0,-18983,-5024,1,1,3,3,1,0,3,1,0,0
237700.0,921200.0,62350.0,-15966,-226,3,0,1,0,1,1,2,1,0,1
81700.0,171300.0,8770.0,-19555,-1723,2,0,0,3,0,0,3,0,1,1
144300.0,359600.0,21350.0,-19333,-2324,1,0,0,3,1,0,2,0,1,1
109700.0,490700.0,28460.0,-8517,-475,1,0,1,3,1,0,2,0,0,1
137300.0,534000.0,36270.0,-21781,-1952,2,0,2,0,2,0,2,0,0,1
354400.0,1383100.0,90860.0,-11733,-999,2,1,3,3,1,2,2,0,0,1
150900.0,274500.0,12830.0,-20214,-4643,2,0,3,3,1,0,2,1,0,1
136200.0,608900.0,40070.0,-13450,-2010,2,0,3,3,1,2,3,0,0,1
163300.0,460200.0,21740.0,-11928,-420,1,0,0,3,2,0,1,0,0,1
112500.0,393200.0,19090.0,-17574,-87,2,0,3,0,1,0,2,0,0,0
64400.0,140800.0,8190.0,-8770,-36,2,0,0,3,3,0,1,1,0,0
114100.0,498400.0,26370.0,-14906,-5674,3,0,2,3,0,0,2,0,1,1
48800.0,139200.0,8980.0,-13742,-237,1,0,3,3,1,0,2,0,1,1
105900.0,254500.0,13160.0,-20027,-828,2,0,0,0,1,0,2,0,1,1
108600.0,460700.0,28360.0,-20625,-3316,4,0,3,0,3,0,2,0,1,1
194400.0,433300.0,20960.0,-18556,-2603,1,0,3,3,2,0,3,0,0,1
197300.0,844300.0,54670.0,-12679,-1132,2,0,3,3,1,0,2,0,0,1
232200.0,1026100.0,48500.0,-12614,-2036,2,0,3,3,3,0,3,1,0,0
118300.0,272700.0,17950.0,-9780,-205,1,0,3,3,0,0,3,0,0,0
133100.0,446900.0,27100.0,-18092,-316,3,0,3,3,1,0,2,0,1,1
283600.0,906700.0,45120.0,-17503,-1030,3,1,3,3,1,0,2,0,0,1
124900.0,486900.0,27550.0,-20441,-930,2,0,0,0,1,0,3,0,0,1
91900.0,227600.0,12950.0,-9134,-2560,3,0,3,0,3,0,2,0,1,1
223600.0,590400.0,32420.0,-15140,-1038,2,0,3,3,3,0,2,0,0,1
135000.0,257200.0,12350.0,-19542,-4271,3,0,0,0,1,0,3,0,0,1
59500.0,145000.0,8580.0,-12780,-839,1,0,1,0,3,0,2,0,1,1
130200.0,506200.0,22930.0,-10592,-551,2,0,0,3,0,1,3,0,1,1
365300.0,1414700.0,90290.0,-16743,-985,1,1,0,3,1,0,2,1,0,1
191300.0,623800.0,42070.0,-8550,-1975,3,0,1,3,1,2,3,0,0,1
129200.0,515000.0,21790.0,-19382,-1288,5,0,3,0,0,0,2,1,1,0
501000.0,2098300.0,125010.0,-22872,-497,4,0,1,3,1,0,2,0,0,0
239900.0,691200.0,42220.0,-16283,-4108,2,1,0,0,0,0,2,1,1,0
107600.0,402500.0,21880.0,-20557,-2339,2,0,1,3,1,0,2,1,0,1
127100.0,255400.0,11340.0,-18687,-546,2,1,3,3,3,0,2,0,1,1
215300.0,580800.0,38030.0,-16112,-461,2,0,1,3,1,0,2,1,0,0
155300.0,417000.0,23570.0,-10312,-2793,1,0,2,0,1,0,1,0,0,1
109900.0,401300.0,21280.0,-16209,-462,3,0,3,3,1,0,1,0,1,1
267600.0,813000.0,37680.0,-9324,-361,3,0,3,0,1,0,2,0,1,0
71100.0,225400.0,10640.0,-15644,-2377,2,0,3,3,1,0,2,0,1,0
119600.0,236700.0,11280.0,-9949,-371,2,0,1,3,1,0,1,0,0,0
80500.0,199900.0,9990.0,-19132,-1013,3,0,0,3,3,0,3,0,0,1
101400.0,283700.0,14740.0,-19389,-1177,1,0,0,0,3,0,3,1,0,1
147200.0,379600.0,23660.0,-14271,-58,2,0,3,3,1,0,3,0,0,0
126500.0,448400.0,29740.0,-10690,-211,4,0,1,3,1,0,3,0,0,1
209100.0,429400.0,19220.0,-22692,-2501,2,0,3,3,1,3,2,0,1,0
259800.0,689400.0,37750.0,-12199,-1301,3,0,3,3,4,0,2,0,0,1
46600.0,120200.0,5420.0,-20041,-758,3,0,0,0,2,0,1,0,0,1
119800.0,413800.0,26820.0,-19380,-832,2,0,3,3,1,0,2,1,0,0
290100.0,1010600.0,66940.0,-15418,-2855,1,0,0,3,1,0,2,0,1,0
168100.0,723200.0,32000.0,-22046,-98,1,0,1,0,1,0,2,0,0,0
150300.0,338500.0,15090.0,-20805,-3319,3,0,0,3,3,0,2,0,1,1
143200.0,403100.0,24300.0,-15985,-564,3,0,3,3,3,0,1,1,0,1
187000.0,342300.0,14940.0,-21529,-319,2,0,2,3,2,0,1,0,0,0
149300.0,653400.0,42480.0,-9920,-3346,2,0,0,1,0,0,2,0,0,1
222600.0,645900.0,32330.0,-11649,-211,4,0,1,3,0,0,2,0,0,1
248300.0,963800.0,42300.0,-9426,-780,1,0,0,0,1,1,2,0,0,0
182400.0,807200.0,49250.0,-20100,-3170,2,0,0,3,1,0,2,0,0,1
110900.0,246500.0,12540.0,-9725,-2290,1,0,0,3,3,0,3,1,0,1
134200.0,300400.0,15260.0,-13580,-694,2,0,3,3,3,0,3,1,1,1
117100.0,502600.0,22930.0,-19887,-3713,2,0,1,3,1,0,2,0,0,1
385600.0,1718800.0,86180.0,-20085,-246,1,0,1,3,1,0,3,0,0,0
195000.0,833900.0,40360.0,-22774,-259,2,0,3,0,3,0,2,0,1,1
178600.0,713600.0,43990.0,-20578,-908,3,0,2,3,1,3,2,0,0,1
292500.0,636100.0,29950.0,-14819,-609,1,0,0,3,1,0,2,0,0,0
361200.0,1358100.0,80710.0,-21851,-1254,2,0,1,3,1,2,3,0,0,1
364600.0,805400.0,50730.0,-21115,-2113,3,0,3,0,1,0,3,0,0,1
184000.0,412600.0,22200.0,-14801,-5479,1,0,0,3,1,0,2,0,0,1
162200.0,684900.0,34540.0,-11710,-36,3,0,1,0,2,0,2,1,0,1
197300.0,776400.0,45250.0,-15748,-2650,2,0,1,0,1,0,3,0,1,1
87100.0,219300.0,10530.0,-8550,-1975,2,0,3,0,1,0,2,1,1,1
300200.0,1018100.0,44460.0,-16188,-477,2,0,1,3,4,0,2,0,1,1
174100.0,609300.0,29720.0,-10032,-216,2,0,3,3,2,0,2,0,1,1
234500.0,837100.0,45300.0,-16067,-748,3,0,1,3,2,0,1,0,1,1
93600.0,332000.0,16740.0,-12064,-566,2,1,1,3,1,0,1,0,1,0
194000.0,757000.0,36150.0,-13571,-297,1,0,1,3,0,0,2,0,0,0
340800.0,1229300.0,79030.0,-8297,-1722,1,0,3,3,1,0,3,0,0,1
153100.0,398500.0,26890.0,-9694,-1893,2,0,0,3,3,0,2,0,1,1
342000.0,1347400.0,63880.0,-14430,-599,2,0,1,3,1,0,1,1,0,1
120300.0,452900.0,29340.0,-7963,-254,4,0,1,3,2,0,1,0,1,1
99300.0,206500.0,12670.0,-15649,-366,3,0,1,3,1,0,2,1,1,1
162200.0,453000.0,26070.0,-7820,-1245,2,0,0,0,1,0,3,0,0,1
166800.0,333500.0,16970.0,-8363,-651,5,0,3,3,3,0,2,0,0,1
95600.0,266600.0,12690.0,-20751,-3247,1,0,3,3,1,0,2,0,0,1
393100.0,836800.0,44890.0,-16964,-899,2,0,1,0,2,0,3,0,0,1
179000.0,480100.0,31900.0,-17254,-36,1,1,3,3,1,0,2,0,0,0
116800.0,372100.0,21410.0,-13636,-2260,2,1,0,3,3,0,2,1,1,1
141800.0,485800.0,21070.0,-20747,-2783,2,0,0,3,1,3,2,1,0,0
63400.0,232800.0,13020.0,-16366,-897,2,0,0,2,1,0,2,1,0,1
