AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_RATING_CLIENT,REG_REGION_NOT_WORK_REGION,FLAG_OWN_CAR,FLAG_OWN_REALTY
120600.0,508300.0,31940.0,-8398,-1011,2,0,0,3,1,0,3,0,0,0
128600.0,423300.0,18960.0,-23431,-2682,1,0,3,0,1,0,2,0,0,1
53800.0,198600.0,8750.0,-15875,-1790,2,0,2,3,3,0,2,1,0,1
204500.0,916500.0,54950.0,-18142,-40,1,0,3,2,1,0,2,0,0,1
115900.0,445300.0,21110.0,-19540,-36,2,0,3,0,2,0,2,1,1,1
246800.0,957300.0,40910.0,-18976,-1223,4,0,1,3,1,0,1,0,0,0
333900.0,1303900.0,62270.0,-17043,-164,3,1,3,3,1,0,3,0,0,1
78500.0,286100.0,15520.0,-12031,-2653,2,0,3,3,1,0,1,0,0,0
307300.0,895900.0,38200.0,-22287,-2195,2,0,1,0,1,0,1,0,0,0
256900.0,904800.0,50110.0,-10177,-1950,1,1,2,0,1,0,1,0,1,1
71900.0,315600.0,20490.0,-23440,-2233,3,0,0,0,1,0,3,0,0,1
166000.0,614500.0,34640.0,-18855,-1710,4,0,3,3,1,0,2,0,1,1
56800.0,143900.0,8250.0,-20636,-3523,2,0,3,0,1,0,2,0,1,1
291800.0,531200.0,30340.0,-16619,-2695,1,0,3,0,1,1,2,0,1,0
98300.0,236400.0,12220.0,-21093,-285,3,0,3,1,1,0,2,0,1,0
75700.0,327400.0,19930.0,-13626,-3472,3,0,3,3,1,0,3,0,0,1
152700.0,684000.0,39050.0,-21237,-5108,2,0,1,3,1,0,2,1,0,1
60000.0,153900.0,8630.0,-14732,-3279,2,0,3,3,1,0,3,1,0,1
126500.0,403900.0,18290.0,-13294,-1286,1,0,3,3,1,0,2,0,0,1
138400.0,262900.0,12980.0,-16648,-6527,3,1,0,0,1,2,2,0,1,1
107000.0,389300.0,21210.0,-22127,-1806,3,0,0,3,0,0,2,0,0,1
152100.0,332000.0,20260.0,-23082,-156,3,1,1,3,1,0,2,1,0,1
138800.0,372100.0,23780.0,-17657,-1651,1,0,3,3,3,2,3,0,0,0
133200.0,260400.0,13510.0,-17328,-1992,3,0,0,0,3,0,2,0,0,0
156500.0,700500.0,42590.0,-18312,-2071,1,0,3,3,1,0,2,0,0,0
147400.0,291600.0,17610.0,-20217,-171,3,0,2,3,3,0,2,0,1,1
139200.0,308800.0,15040.0,-10593,-1089,1,0,1,3,0,0,2,0,0,1
130900.0,382700.0,18810.0,-10359,-3784,2,1,0,3,1,0,3,0,0,1
205600.0,539400.0,24880.0,-14441,-2697,2,0,1,3,1,0,2,1,0,1
187400.0,499100.0,24760.0,-22631,-354,3,0,3,0,1,0,3,0,1,1
155700.0,455000.0,26960.0,-17819,-2297,2,0,1,3,1,0,2,0,0,0
72600.0,175000.0,8480.0,-14102,-53,1,0,3,2,1,3,2,0,1,1
294100.0,1223200.0,60090.0,-18486,-1101,1,0,3,0,4,0,1,0,1,1
100700.0,367800.0,21940.0,-18770,-499,1,0,3,3,1,0,2,0,0,0
184700.0,724600.0,36090.0,-20943,-825,4,0,0,3,0,0,1,0,0,0
118400.0,295700.0,14280.0,-20089,-1955,3,0,2,3,0,0,2,0,0,1
115600.0,512900.0,21720.0,-21474,-1994,2,1,1,3,1,0,2,0,1,0
120500.0,356100.0,20340.0,-15755,-2543,2,0,0,3,1,0,1,0,0,1
155700.0,656400.0,39760.0,-23437,-1179,1,0,3,3,3,0,2,1,0,0
80200.0,260800.0,11020.0,-17236,-1279,1,0,3,0,1,0,2,0,1,1
247500.0,924200.0,47250.0,-19486,-663,3,1,3,0,2,0,3,0,1,0
163800.0,540100.0,24170.0,-18747,-1032,2,0,0,3,1,0,1,0,1,0
70900.0,193600.0,9120.0,-19804,-76,2,0,0,0,1,0,2,0,0,1
249900.0,1058200.0,52230.0,-18336,-633,2,0,3,3,0,0,1,0,0,0
202600.0,897300.0,48810.0,-19830,-2375,2,0,3,3,1,0,2,0,0,0
72400.0,184800.0,8780.0,-22476,-1677,2,0,3,3,1,0,2,0,0,0
118500.0,249900.0,13200.0,-14719,-923,1,0,2,0,1,0,2,0,0,1
71700.0,160200.0,8530.0,-19704,-3855,1,0,0,0,3,0,1,0,0,1
97000.0,393700.0,18930.0,-23227,-3151,4,0,1,0,1,0,2,1,1,0
165200.0,519800.0,28660.0,-11348,-2970,1,1,1,3,1,0,3,0,0,1
185800.0,446000.0,21790.0,-11478,-2120,3,0,1,3,1,0,1,0,0,1
175800.0,722000.0,47400.0,-20595,-2097,1,0,0,0,3,0,2,0,0,1
216600.0,633200.0,39730.0,-12640,-827,1,1,0,3,1,0,2,0,0,1
499100.0,1600500.0,102650.0,-19075,-1962,1,0,0,3,1,0,2,0,0,0
125900.0,490300.0,24970.0,-11347,-372,3,0,0,3,1,1,3,0,0,1
146200.0,300500.0,20120.0,-13579,-5802,2,0,3,3,1,0,3,0,0,1
133900.0,544300.0,26020.0,-18505,-1311,2,0,1,2,1,2,3,0,0,0
157100.0,377600.0,22020.0,-21866,-2636,1,0,0,3,1,0,2,1,0,1
125600.0,375300.0,21690.0,-18253,-194,3,1,3,3,1,0,2,0,0,1
73300.0,293400.0,14040.0,-14315,-3086,2,0,2,3,1,0,3,0,0,1
278500.0,789900.0,36520.0,-22687,-3391,1,0,3,1,1,0,1,0,1,1
108800.0,404300.0,18010.0,-11381,-2305,3,0,0,3,1,0,1,0,0,1
290600.0,1021300.0,45580.0,-16575,-395,2,0,1,0,3,0,2,0,0,1
257000.0,810200.0,53420.0,-16940,-38,2,0,1,3,0,0,3,0,1,1
132100.0,313200.0,18320.0,-14358,-3917,1,0,3,3,1,1,2,0,0,0
173600.0,471300.0,26400.0,-12187,-36,4,0,3,3,1,0,2,0,0,0
108200.0,327400.0,17130.0,-11223,-1039,1,0,3,0,1,0,1,0,0,1
148700.0,375200.0,17290.0,-22616,-1814,3,1,0,0,1,0,2,1,0,0
58500.0,169300.0,9700.0,-18033,-335,4,0,3,3,0,0,2,0,0,1
63900.0,220000.0,14370.0,-18602,-792,2,0,3,3,1,0,2,0,1,1
101600.0,200500.0,11380.0,-16302,-972,2,0,3,3,1,0,1,1,0,1
279100.0,852300.0,46980.0,-16749,-624,2,0,3,3,1,0,1,0,0,1
166100.0,423800.0,27560.0,-9139,-183,1,0,0,3,0,0,3,0,0,1
218300.0,510600.0,33740.0,-19113,-1340,5,0,3,0,3,0,2,0,0,1
85800.0,160800.0,7630.0,-13321,-2009,1,1,3,0,3,0,2,0,1,0
222400.0,947700.0,39870.0,-9565,-1138,3,0,3,3,2,0,1,0,0,1
71800.0,195400.0,8520.0,-12600,-1738,3,0,3,3,1,0,2,0,1,1
101300.0,222200.0,13660.0,-7891,-1099,2,0,0,3,1,0,1,0,0,0
333500.0,1475600.0,66570.0,-19444,-203,2,1,0,3,1,0,2,0,0,1
45000.0,113800.0,5440.0,-23308,-72,1,1,3,3,1,0,3,0,0,1
565300.0,1686500.0,72120.0,-16518,-962,4,0,0,3,1,0,2,1,1,0
197500.0,685500.0,34270.0,-9587,-846,3,0,3,0,1,0,2,0,1,1
182200.0,447100.0,22380.0,-16435,-720,2,0,0,1,1,0,2,0,0,1
318500.0,767800.0,40520.0,-14447,-851,2,0,3,3,1,0,2,0,1,1
108400.0,315800.0,16740.0,-12608,-3616,3,0,1,0,1,0,2,0,0,1
166400.0,312200.0,18410.0,-7816,-1241,3,1,3,3,1,0,2,1,1,1
135000.0,385800.0,16690.0,-20429,-696,4,0,0,3,3,0,1,0,0,1
121700.0,322600.0,21160.0,-8367,-225,1,0,0,3,0,0,3,0,0,0
116800.0,248200.0,13360.0,-21965,-281,5,0,3,3,0,0,2,1,0,0
196400.0,779200.0,37000.0,-21651,-1553,4,0,3,3,1,1,2,0,0,1
