AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_RATING_CLIENT,REG_REGION_NOT_WORK_REGION,FLAG_OWN_CAR,FLAG_OWN_REALTY
84420.0,686205.0,41522.0,-8398.0,-404.40000000000003,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
90020.0,571455.0,24648.0,-23431.0,-2682.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
37660.0,268110.0,11375.0,-15875.0,-1790.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0
143150.0,1237275.0,71435.0,-18142.0,-40.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0
81130.0,601155.0,27443.0,-19540.0,-14.4,2.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
172760.0,1292355.0,53183.0,-18976.0,-489.20000000000005,4.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
233729.99999999997,1760265.0,80951.0,-17043.0,-65.60000000000001,3.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0
54950.0,386235.0,20176.0,-12031.0,-2653.0,2.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
215110.0,1209465.0,49660.0,-22287.0,-2195.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
179830.0,1221480.0,65143.0,-10177.0,-1950.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
50330.0,426060.0,26637.0,-23440.0,-893.2,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
116199.99999999999,829575.0,45032.0,-18855.0,-1710.0,4.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0
39760.0,194265.0,10725.0,-20636.0,-3523.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0
204260.0,717120.0,39442.0,-16619.0,-1078.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0
68810.0,319140.0,15886.0,-21093.0,-114.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
52990.0,441990.0,25909.0,-13626.0,-1388.8000000000002,3.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0
106890.0,923400.0000000001,50765.0,-21237.0,-2043.2,2.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0
42000.0,207765.0,11219.0,-14732.0,-3279.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0
88550.0,545265.0,23777.0,-13294.0,-1286.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0
96880.0,354915.0,16874.0,-16648.0,-2610.8,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0
74900.0,525555.0,27573.0,-22127.0,-1806.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
106470.0,448200.00000000006,26338.0,-23082.0,-62.400000000000006,3.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0
97160.0,502335.00000000006,30914.0,-17657.0,-660.4000000000001,1.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0
93240.0,351540.0,17563.0,-17328.0,-796.8000000000001,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
109550.0,945675.0000000001,55367.0,-18312.0,-2071.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
103180.0,393660.0,22893.0,-20217.0,-171.0,3.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0
97440.0,416880.0,19552.0,-10593.0,-435.6,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
91630.0,516645.00000000006,24453.0,-10359.0,-3784.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0
143920.0,728190.0,32344.0,-14441.0,-2697.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0
131180.0,673785.0,32188.0,-22631.0,-141.6,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0
108990.0,614250.0,35048.0,-17819.0,-2297.0,2.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
50820.0,236250.00000000003,11024.0,-14102.0,-21.200000000000003,1.0,0.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0
205870.0,1651320.0,78117.0,-18486.0,-440.40000000000003,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0
70490.0,496530.00000000006,28522.0,-18770.0,-499.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
129289.99999999999,978210.0000000001,46917.0,-20943.0,-825.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
82880.0,399195.0,18564.0,-20089.0,-1955.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
80920.0,692415.0,28236.0,-21474.0,-797.6,2.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0
84350.0,480735.00000000006,26442.0,-15755.0,-1017.2,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
108990.0,886140.0000000001,51688.0,-23437.0,-1179.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0
56140.0,352080.0,14326.0,-17236.0,-1279.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
173250.0,1247670.0,61425.0,-19486.0,-265.2,3.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0
114660.0,729135.0,31421.0,-18747.0,-1032.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
